id,isbn,stock,authors,publication_year,original_title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
12,62024035,210,Veronica Roth,2011,Divergent,eng,4.24,1903563,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
13,451524934,995,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4.14,1956832,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
14,452284244,896,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,1881700,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
15,553296981,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
16,307269752,274,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4.11,1808403,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
17,439023491,201,Suzanne Collins,2009,Catching Fire,eng,4.3,1831039,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
18,043965548X,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
19,618346252,566,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,1766803,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
20,439023513,239,Suzanne Collins,2010,Mockingjay,eng,4.03,1719760,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
21,439358078,307,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4.46,1735368,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
22,316166685,183,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg
23,439064864,398,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4.37,1779331,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
24,439139600,332,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,4.53,1753043,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
25,545010225,263,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng,4.61,1746574,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
26,307277674,350,Dan Brown,2003,The Da Vinci Code,eng,3.79,1447148,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
27,439785960,275,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,eng,4.54,1678823,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
28,140283331,458,William Golding,1954,Lord of the Flies ,eng,3.64,1605019,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
29,743477111,1937,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,eng,3.73,1628519,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
30,297859382,196,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg
31,399155341,183,Kathryn Stockett,2009,The Help,eng,4.45,1531753,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg
32,142000671,373,John Steinbeck,1937,Of Mice and Men ,eng,3.84,1467496,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg
33,739326228,220,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34,1612130291,169,E.L. James,2011,Fifty Shades of Grey,eng,3.67,1338493,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg
35,61122416,458,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,eng,3.82,1299566,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg
36,385732554,192,Lois Lowry,1993,The Giver,eng,4.12,1296825,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg
37,60764899,474,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4.19,1531800,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
38,965818675,167,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg
39,553588486,101,George R.R. Martin,1996,A Game of Thrones,eng,4.45,1319204,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg
40,143038419,185,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,1181647,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg
41,786838655,159,Rick Riordan,2005,The Lightning Thief,eng,4.23,1366265,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
42,451529308,1707,Louisa May Alcott,1868,Little Women,en-US,4.04,1257121,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43,142437204,2568,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
44,553816713,190,Nicholas Sparks,1996,The Notebook,eng,4.06,1053403,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg
45,770430074,264,Yann Martel,2001,Life of Pi,,3.88,1003228,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg
46,1565125606,128,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg
47,375831002,251,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
48,307347974,507,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg
49,316160199,194,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
50,60513039,45,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
51,1416914285,178,Cassandra Clare,2007,City of Bones,eng,4.12,1154031,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
52,316160202,185,Stephenie Meyer,2007,Eclipse,en-US,3.69,1134511,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
53,375826696,217,Christopher Paolini,2002,Eragon,en-US,3.86,1104021,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
54,345391802,257,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.2,936782,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
55,60929871,515,Aldous Huxley,1932,Brave New World,eng,3.97,1022601,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
56,031606792X,183,Stephenie Meyer,2008,Breaking Dawn,en-US,3.7,1070245,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
57,142001740,125,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg
58,142437174,2277,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,64410935,180,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
60,1400032717,183,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,1594633665,14,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,679879242,287,Philip Pullman,1995,Northern Lights,eng,3.94,953970,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
63,393978893,2498,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,743454537,125,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg
65,385333846,241,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,846488,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg
66,446675539,409,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg
67,1594489505,197,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg
68,671027344,128,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,7442912,164,Veronica Roth,2012,Insurgent,eng,4.07,836362,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,812550706,224,Orson Scott Card,1985,Ender's Game,eng,4.3,813439,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
71,141439475,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",eng,3.75,808589,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
72,450040186,289,Stephen King,1977,The Shining,eng,4.17,791850,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg
73,316068047,161,Stephenie Meyer,2008,The Host,en-US,3.84,749780,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
74,142402516,187,John Green,2005,Looking for Alaska,eng,4.09,783470,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
75,014028009X,193,Helen Fielding,1996,,eng,3.75,736498,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
76,141439661,1969,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
77,439244196,138,"Louis Sachar, Louis Sachar",1998,Holes,eng,3.93,747445,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
78,307275558,129,Lauren Weisberger,2003,The Devil Wears Prada,eng,3.7,665930,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79,143039954,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,eng,3.73,670326,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
80,156012197,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,eng,4.28,738757,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
81,074324754X,92,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
82,385486804,108,Jon Krakauer,1996,Into the Wild,eng,3.94,647684,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
83,141439602,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
84,030734813X,176,Michael Crichton,1990,Jurassic Park,spa,3.96,447833,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,60256656,81,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
86,385338600,158,John Grisham,1989,A Time to Kill,eng,4.03,597775,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,374500010,109,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng,4.3,691231,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
88,014241493X,178,John Green,2008,Paper Towns,en-US,3.88,461311,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89,345418263,129,William Goldman,1973,The Princess Bride,en-US,4.25,628637,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,014038572X,156,S.E. Hinton,1967,The Outsiders,en-US,4.06,659248,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,385737947,147,James Dashner,2009,The Maze Runner,eng,4.02,719925,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
92,61234001,124,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93,524191,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
93,517189607,1350,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
94,60531045,555,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng,4.04,490565,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
95,375751513,2303,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
96,345803507,133,E.L. James,2012,Fifty Shades Freed,eng,3.88,387290,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
97,393970124,2207,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
98,307269981,209,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng,4.22,563994,4623,15781,91021,258236,279592,https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
99,1612130585,147,E.L. James,2011,Fifty Shades Darker,eng,3.87,552059,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
100,60786507,39,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
101,349113912,59,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
102,99408392,110,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
103,140449264,1310,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,eng,4.21,555822,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
104,307265439,181,Cormac McCarthy,2006,The Road,eng,3.95,504793,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
105,7524277,153,Veronica Roth,2013,Allegiant,eng,3.63,463257,31626,78366,176061,192785,184388,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
106,,48,Tina Fey,2011,Bossypants,eng,3.94,506250,14842,31761,129390,230080,203187,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg
107,446693804,131,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
108,440241413,144,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,3.61,543658,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
109,451525264,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407,15225,25914,87461,167385,264147,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
110,553381695,202,George R.R. Martin,1998,A Clash of Kings,eng,4.4,523303,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
111,143037145,98,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,670026603,168,Jojo Moyes,2012,Me Before You,eng,4.27,587647,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
113,684833395,251,Joseph Heller,1961,Catch-22,en-US,3.98,563265,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
114,751529818,172,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
115,312422156,125,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
116,143039563,2448,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
117,440498058,165,Madeleine L'Engle,1962,A Wrinkle in Time,en-US,4.04,615907,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
